#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A2E2A9
#Date Time: 2018-11-27 11:16:18.471
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Wavegen 1 Condition: Rising
#Channel 1: Range: 200 mV/div Offset: 0 V
#Channel 2: Range: 500 mV/div Offset: 0 V

Time (s),Channel 1 (V),Channel 2 (V)
0.0089525000000000004,-0.31020035327326184,-0.0002984230599679949
0.0089537499999999999,-0.30986774243505455,-0.0002984230599679949
0.0089550000000000012,-0.30953513159684753,-0.00063150120775252658
0.0089562499999999989,-0.30986774243505427,-0.00029842305996829782
0.0089575000000000002,-0.30953513159684726,-0.0006315012077528295
0.0089587499999999997,-0.30920252075863996,-0.0006315012077528295
0.0089599999999999992,-0.30920252075863996,-0.00029842305996829782
0.0089612500000000005,-0.30886990992043262,-0.00096457935553766411
0.0089625,-0.30853729908222532,-0.0006315012077528295
0.0089637499999999995,-0.30787207740581074,-0.0006315012077528295
0.0089650000000000007,-0.30753946656760345,-0.0002984230599679949
0.0089662500000000003,-0.30687424489118886,-0.0006315012077528295
0.0089674999999999998,-0.30720685572939616,-0.0002984230599679949
0.008968750000000001,-0.30687424489118825,-0.00063150120775252658
0.0089699999999999988,-0.30620902321477489,-0.00029842305996829782
0.0089712500000000001,-0.30587641237656693,-0.0006315012077528295
0.0089725000000000013,-0.30554380153835936,-0.00063150120775252658
0.0089737499999999991,-0.30521119070015262,-0.00029842305996829782
0.0089750000000000003,-0.30454596902373776,3.465508781683971e-05
0.0089762499999999999,-0.30354813650911588,-0.0006315012077528295
0.0089774999999999994,-0.30288291483270124,-0.0002984230599679949
0.0089787500000000006,-0.30255030399449395,-0.0006315012077528295
0.0089800000000000001,-0.30221769315628666,3.465508781683971e-05
0.0089812499999999997,-0.30188508231807937,-0.0006315012077528295
0.0089825000000000009,-0.30088724980345749,-0.0006315012077528295
0.0089837500000000004,-0.30022202812704291,-0.0002984230599679949
0.0089849999999999999,-0.29955680645062827,-0.0006315012077528295
0.0089862500000000012,-0.29922419561242036,-0.00063150120775252658
0.008987499999999999,-0.298558973936007,-0.00029842305996829782
0.0089887500000000002,-0.29756114142138451,-0.00096457935553766411
0.0089899999999999997,-0.29656330890676258,-0.00096457935553766411
0.0089912499999999992,-0.29589808723034861,-0.00029842305996860075
0.0089925000000000005,-0.29456764387751883,-0.0006315012077528295
0.00899375,-0.29356981136289689,-0.00096457935553766411
0.0089949999999999995,-0.29290458968648231,-0.0006315012077528295
0.0089962500000000008,-0.29223936801006772,-0.00096457935553766411
0.0089975000000000003,-0.29124153549544585,-0.0006315012077528295
0.0089987499999999998,-0.2909089246572385,-0.0002984230599679949
0.0090000000000000011,-0.28957848130440872,-0.0002984230599679949
0.0090012499999999988,-0.28891325962799536,-0.0002984230599679949
0.0090025000000000001,-0.28791542711337281,-0.0006315012077528295
0.0090037500000000013,-0.28658498376054303,-0.00063150120775222365
0.0090049999999999991,-0.28591976208412967,3.4655087816233858e-05
0.0090062500000000004,-0.28525454040771447,0.00036773323560167432
0.0090074999999999999,-0.28392409705488525,-0.0002984230599679949
0.0090087499999999994,-0.28292626454026337,-0.0002984230599679949
0.0090100000000000006,-0.28159582118743415,-0.0002984230599679949
0.0090112500000000002,-0.28026537783460498,-0.0002984230599679949
0.0090124999999999997,-0.2792675453199831,-0.0002984230599679949
0.0090137500000000009,-0.27826971280536117,-0.0002984230599679949
0.0090150000000000004,-0.276939269452532,-0.0002984230599679949
0.00901625,-0.27594143693791007,3.465508781683971e-05
0.0090175000000000012,-0.27461099358508001,3.465508781683971e-05
0.009018749999999999,-0.27361316107045991,3.465508781683971e-05
0.0090200000000000002,-0.2722827177176298,-0.0002984230599679949
0.0090212499999999998,-0.27095227436480063,3.465508781683971e-05
0.0090224999999999993,-0.2696218310119714,-0.0006315012077528295
0.0090237500000000005,-0.26862399849734953,-0.0002984230599679949
0.009025,-0.26729355514452036,-0.00096457935553766411
0.0090262499999999996,-0.26629572262989842,-0.0002984230599679949
0.0090275000000000008,-0.26496527927706925,-0.0002984230599679949
0.0090287500000000003,-0.26363483592424003,-0.0002984230599679949
0.0090299999999999998,-0.26230439257141086,-0.0002984230599679949
0.0090312500000000011,-0.26064133838037312,-0.0002984230599679949
0.0090324999999999989,-0.2593108950275464,-0.0002984230599679949
0.0090337500000000001,-0.2583130625129233,-0.0006315012077528295
0.0090350000000000014,-0.25698261916009257,-0.00029842305996769197
0.0090362499999999991,-0.25531956496905911,3.4655087816536784e-05
0.0090375000000000004,-0.25365651077802109,3.465508781683971e-05
0.0090387499999999999,-0.25199345658698458,-0.0002984230599679949
0.0090399999999999994,-0.25033040239594812,-0.0002984230599679949
0.0090412500000000007,-0.24866734820491165,-0.0006315012077528295
0.0090425000000000002,-0.24766951569028972,-0.0002984230599679949
0.0090437499999999997,-0.24633907233746055,-0.0002984230599679949
0.009045000000000001,-0.24467601814642403,-0.0002984230599679949
0.0090462500000000005,-0.24301296395538757,-0.0006315012077528295
0.0090475,-0.24168252060255835,-0.0006315012077528295
0.0090487500000000012,-0.24035207724972737,3.4655087816536777e-05
0.009049999999999999,-0.23835641222048717,-0.00029842305996769197
0.0090512500000000003,-0.23669335802944891,-0.0002984230599679949
0.0090524999999999998,-0.2346976930002051,-0.0002984230599679949
0.0090537499999999993,-0.23270202797096129,3.465508781683971e-05
0.0090550000000000005,-0.23103897377992483,3.465508781683971e-05
0.0090562500000000001,-0.2300411412653029,-0.0002984230599679949
0.0090574999999999996,-0.22804547623605914,-0.0002984230599679949
0.0090587500000000008,-0.22604981120681533,-0.0002984230599679949
0.0090600000000000003,-0.22438675701577881,3.465508781683971e-05
0.0090612499999999999,-0.22272370282474235,3.465508781683971e-05
0.0090625000000000011,-0.22072803779549705,3.4655087816536777e-05
0.0090637499999999989,-0.21906498360446358,-0.00029842305996769197
0.0090650000000000001,-0.21673670773701098,-0.0006315012077528295
0.0090662500000000014,-0.21507365354597296,-0.0002984230599679949
0.0090674999999999992,-0.2134105993549395,-0.0002984230599679949
0.0090687500000000004,-0.21174754516390148,-0.00096457935553766411
0.0090699999999999999,-0.21008449097286502,-0.0002984230599679949
0.0090712499999999995,-0.20775621510541392,-0.0006315012077528295
0.0090725000000000007,-0.20576055007617011,3.465508781683971e-05
0.0090737500000000002,-0.20409749588513365,-0.0002984230599679949
0.0090749999999999997,-0.20243444169409713,-0.0006315012077528295
0.009076250000000001,-0.20077138750305851,-0.0002984230599679949
0.0090775000000000005,-0.19844311163560957,-0.0002984230599679949
0.00907875,-0.19644744660636576,-0.0002984230599679949
0.0090800000000000013,-0.19445178157712015,-0.0006315012077528295
0.009081249999999999,-0.19245611654788,-0.0006315012077528295
0.0090825000000000003,-0.1901278406804271,-0.0002984230599679949
0.0090837499999999998,-0.18846478648939058,-0.0006315012077528295
0.0090849999999999993,-0.18613651062193953,-0.0002984230599679949
0.0090862500000000006,-0.18447345643090302,-0.0006315012077528295
0.0090875000000000001,-0.18214518056345191,-0.00096457935553766411
0.0090887499999999996,-0.17981690469600081,-0.0002984230599679949
0.0090900000000000009,-0.17815385050496435,3.465508781683971e-05
0.0090912500000000004,-0.17615818547572054,3.465508781683971e-05
0.0090924999999999999,-0.17382990960826944,-0.0002984230599679949
0.0090937500000000011,-0.17150163374081659,-0.0002984230599679949
0.0090949999999999989,-0.16950596871157639,-0.0002984230599679949
0.0090962500000000002,-0.16751030368233077,-0.0002984230599679949
0.0090974999999999997,-0.16518202781487973,-0.0006315012077528295
0.0090987499999999992,-0.16318636278563772,3.4655087816233858e-05
0.0091000000000000004,-0.1615233085945994,3.465508781683971e-05
0.00910125,-0.15919503272714836,-0.00096457935553766411
0.0091024999999999995,-0.15686675685969725,-0.00096457935553766411
0.0091037500000000007,-0.15420587015403886,-0.0006315012077528295
0.0091050000000000002,-0.15254281596300234,-0.0006315012077528295
0.0091062499999999998,-0.1502145400955513,-0.0002984230599679949
0.009107500000000001,-0.14821887506630507,3.4655087816536777e-05
0.0091087500000000005,-0.14555798836064909,-0.0002984230599679949
0.00911,-0.14322971249319799,-0.0006315012077528295
0.0091112500000000013,-0.14090143662574509,-0.00063150120775252658
0.0091124999999999991,-0.13890577159650494,-0.00029842305996829782
0.0091137500000000003,-0.13657749572905203,-0.0002984230599679949
0.0091149999999999998,-0.13424921986160093,-0.0002984230599679949
0.0091162499999999994,-0.13192094399414983,-0.0002984230599679949
0.0091175000000000006,-0.12926005728849149,-0.0002984230599679949
0.0091187500000000001,-0.12693178142104039,-0.0002984230599679949
0.0091199999999999996,-0.12460350555358929,-0.0002984230599679949
0.0091212500000000009,-0.1222752296861382,-0.0002984230599679949
0.0091225000000000004,-0.11994695381868711,-0.0002984230599679949
0.0091237499999999999,-0.11761867795123603,-0.0006315012077528295
0.0091250000000000012,-0.11495779124557551,-0.00096457935553736118
0.0091262499999999989,-0.11262951537812867,-0.00063150120775313243
0.0091275000000000002,-0.11030123951067546,-0.0006315012077528295
0.0091287499999999997,-0.10863818531963897,-0.0006315012077528295
0.0091299999999999992,-0.105644687775776,-0.0006315012077528295
0.0091312500000000005,-0.10298380107011489,-0.0006315012077528295
0.0091325,-0.1006555252026638,-0.0006315012077528295
0.0091337499999999995,-0.09832724933521271,-0.0006315012077528295
0.0091350000000000008,-0.096331584305968915,-0.00096457935553766411
0.0091362500000000003,-0.093338086762103228,-0.0002984230599679949
0.0091374999999999998,-0.091009810894652141,-0.0002984230599679949
0.009138750000000001,-0.088681535027198638,-0.00096457935553736118
0.0091399999999999988,-0.086020648321545073,-0.00063150120775313243
0.0091412500000000001,-0.084024983292298877,-0.0002984230599679949
0.0091425000000000013,-0.081364096586637763,-0.0006315012077528295
0.0091437499999999991,-0.078370599042777517,-0.0006315012077528295
0.0091450000000000004,-0.075709712337116417,-0.0006315012077528295
0.0091462499999999999,-0.073714047307872621,-0.0002984230599679949
0.0091474999999999994,-0.071053160602214227,-0.0002984230599679949
0.0091487500000000006,-0.068392273896555847,-0.0006315012077528295
0.0091500000000000001,-0.066063998029104759,-0.0002984230599679949
0.0091512499999999997,-0.063735722161653671,-0.0002984230599679949
0.0091525000000000009,-0.061074835455995277,-0.0006315012077528295
0.0091537500000000004,-0.058746559588544189,-0.0006315012077528295
0.0091549999999999999,-0.056085672882885802,-0.0002984230599679949
0.0091562500000000012,-0.053092175339017993,-0.0002984230599679949
0.009157499999999999,-0.050763899471571138,-0.0002984230599679949
0.0091587500000000002,-0.048103012765910634,-0.0006315012077528295
0.0091599999999999997,-0.045774736898459546,-0.0006315012077528295
0.0091612499999999993,-0.043113850192801159,-0.0006315012077528295
0.0091625000000000005,-0.040452963487142772,-0.0006315012077528295
0.00916375,-0.037792076781484385,-0.0006315012077528295
0.0091649999999999995,-0.03546380091403329,-0.0002984230599679949
0.0091662500000000008,-0.032470303370167604,-0.0002984230599679949
0.0091675000000000003,-0.029809416664509217,-0.0006315012077528295
0.0091687499999999998,-0.02714852995885083,-0.00096457935553766411
0.0091700000000000011,-0.024487643253190628,-0.00096457935553766411
0.0091712499999999988,-0.022491978223950465,-0.00096457935553766411
0.0091725000000000001,-0.019498480680082964,-0.0006315012077528295
0.0091737500000000013,-0.017502815650836147,-0.0006315012077528295
0.0091749999999999991,-0.014176707268769214,-0.0006315012077528295
0.0091762500000000004,-0.011848431401315099,-0.00096457935553766411
0.0091774999999999999,-0.0091875446956567117,-0.0012976575033224987
0.0091787499999999994,-0.0065266579899983228,-0.0012976575033224987
0.0091800000000000007,-0.0035331604461326369,-0.00096457935553766411
0.0091812500000000002,-0.0012048845786815474,-0.00096457935553766411
0.0091824999999999997,0.0014560021269768406,-0.0006315012077528295
0.0091837500000000009,0.004116888832635229,-0.00096457935553766411
0.0091850000000000005,0.0064451647000863177,-0.00096457935553766411
0.00918625,0.0087734405675374081,-0.00096457935553766411
0.0091875000000000012,0.01209954894961251,-0.0012976575033221958
0.009188749999999999,0.014427824817059363,-0.00096457935553796704
0.0091900000000000003,0.01708871152271987,-0.0006315012077528295
0.0091912499999999998,0.019749598228378257,-0.00096457935553766411
0.0091924999999999993,0.022410484934036645,-0.00096457935553766411
0.0091937500000000005,0.024738760801487736,-0.0012976575033224987
0.009195,0.027067036668938824,-0.0006315012077528295
0.0091962499999999996,0.03006053421280451,-0.00096457935553766411
0.0091975000000000008,0.033054031756670196,-0.0006315012077528295
0.0091987500000000003,0.035382307624121284,-0.00096457935553766411
0.0091999999999999998,0.038043194329779678,-0.0012976575033224987
0.0092012500000000011,0.040371470197233486,-0.0012976575033218929
0.0092024999999999989,0.043364967741093732,-0.00063150120775343536
0.0092037500000000001,0.046025854446754839,-0.00096457935553766411
0.0092050000000000014,0.048686741152415648,-0.00096457935553766411
0.0092062499999999992,0.051347627858069192,-0.00096457935553766411
0.0092075000000000004,0.054008514563730001,-0.00096457935553766411
0.0092087499999999999,0.056669401269388388,-0.00096457935553766411
