Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
124.93368473038501,0.0079316119923611601,-0.60334110346033154,-19.849743113090724
130.39692137868886,0.0076045162060702724,-0.64923600663333847,-20.636254145705294
136.09906040740194,0.0079451485357022091,-0.6981521358489664,-21.445689355650664
142.05054880080107,0.0077318517949029591,-0.75104713712785587,-22.283597948566506
148.26229038030374,0.0076569283702567128,-0.8081532826436143,-23.14532226099422
154.74566578154315,0.0078265914893020632,-0.8687474797336886,-24.032433707638049
161.51255330501894,0.0077635453270044176,-0.93385256259171612,-24.945205734654849
168.57535067853246,0.0078086017950431096,-1.0038922368299363,-25.879990484720889
175.94699777126937,0.0078452350594585725,-1.0786062342159344,-26.840115833538931
183.64100030115114,0.007473421409931888,-1.1582915079610616,-27.82327479219034
191.67145457888739,0.0073057447591782648,-1.2431702237144628,-28.833263143952365
200.05307333406051,0.0074107139397875266,-1.333749840467171,-29.863721076451668
208.80121267056617,0.0071712942375782695,-1.4303771269343402,-30.913889049824093
217.93190020078629,0.0071136208917098797,-1.5328705309482873,-31.985820223624216
227.46186441004539,0.0072764824750325002,-1.641384789892006,-33.076245144626938
237.4085653051508,0.0076804850901823728,-1.7558691362332919,-34.185005019443125
247.79022640315961,0.0068213646916326408,-1.8782946210887941,-35.308950481727081
258.62586811899251,0.0073411661318429139,-2.0063791104010837,-36.449201218576299
269.9353426130516,0.0070595126783059032,-2.1424374881532122,-37.603455276022515
281.73937016269622,0.006865280019894472,-2.285250883548601,-38.767201678229
294.05957712421076,0.0067562116033282413,-2.4347105729983021,-39.941295902267512
306.91853555481089,0.0072920095819285725,-2.5919520698018292,-41.123221016841399
320.33980456729091,0.006588297654717197,-2.7571761418553553,-42.311823855782073
334.34797349306433,0.006539049602516298,-2.9300307104172649,-43.504487293122416
348.96870693269193,0.0065084551326945912,-3.1093435530652953,-44.695607150457619
364.22879177642579,0.0061743942004526542,-3.2973041043571554,-45.892087418367609
380.15618628091556,0.006563822104159212,-3.4918572397148022,-47.078707656695457
396.78007129200302,0.0063554435241109678,-3.6948698275350593,-48.264847429101252
414.1309037074335,0.0062760564766820353,-3.9044015658214564,-49.442272324916686
432.24047227744967,0.0060573142366140715,-4.1218089529402251,-50.610392603879198
451.14195584549219,0.0056158373216695385,-4.3464593758394807,-51.773090745457381
470.86998413571354,0.0058703226377140663,-4.5775398837736239,-52.920027422230632
491.46070119867454,0.0058067494257211232,-4.8164209472400579,-54.05427575660309
512.9518316314643,0.0055037747443210088,-5.0617613212019652,-55.169745533483933
535.38274969356587,0.0054570493759481843,-5.3134944470489103,-56.272614124043841
558.79455144509359,0.0049608127463506438,-5.5722114618632475,-57.356374969490247
583.23013003957374,0.0050910068977544926,-5.8359158194297187,-58.417535475869229
608.73425430920997,0.0044611631218931065,-6.1062017289850301,-59.462332951662169
635.3536507866055,0.0046974488500941807,-6.3828349885301296,-60.481095907559698
663.13708931322856,0.0046634329893966179,-6.6626601094584021,-61.480382986448447
692.13547239145157,0.0042294862993270755,-6.9491955477741287,-62.452833576090214
722.40192844387934,0.0042935788025916391,-7.2401625209529978,-63.408261404148803
753.99190915082158,0.0037015059133719765,-7.5369211330315453,-64.332436335976851
786.96329104424035,0.0034262781923770471,-7.8380508333060259,-65.233231235668114
821.37648154431315,0.0033846615245473246,-8.1423253926865478,-66.111390714086497
857.29452963288043,0.0029602342234525563,-8.4511032134916704,-66.972215411904955
894.78324136653544,0.002582343490866593,-8.763990115315643,-67.797085822631161
933.91130044100669,0.0019792548168803344,-9.0806594547442803,-68.599810224827365
974.7503940276996,0.001842925732707099,-9.399544535030369,-69.381696055862278
1017.3753441129644,0.0013729415063600263,-9.7231107084106974,-70.138655913775509
1061.86424458071,0.00082032096149107429,-10.047969788137994,-70.871138401382467
1108.2986042895125,0.00045897193528083978,-10.376479095851717,-71.578297135408718
1156.7634964063618,-5.1141034790950865e-05,-10.708316000017037,-72.261964442547821
